"Class","FriendlyName","InstanceId","Status","DriverVersion"
"System","Intel(R) GNA Scoring Accelerator module","PCI\VEN_8086&DEV_467E&SUBSYS_380417AA&REV_00\3&11583659&0&40","OK","3.0.0.1457"
"SoftwareComponent","Intel(R) Dynamic Application Loader Host Interface","SWD\DRIVERENUM\OEM_DAL_COMPONENT&4&333F5F22&0","OK","1.44.2023.710"
"System","Sistema compatible con Microsoft UEFI","ACPI_HAL\UEFI\0","OK","10.0.26100.8972"
"Volume","Volumen","STORAGE\VOLUME\{9875C86C-ACF0-11F1-9051-806E6F6E6963}#000000000C900000","OK","10.0.26100.5074"
"USB","Controlador de host eXtensible Intel(R) USB 3.10 - 1.20 (Microsoft)","PCI\VEN_8086&DEV_54ED&SUBSYS_380717AA&REV_00\3&11583659&0&A0","OK","10.0.26100.9444"
"Mouse","Mouse compatible con HID","HID\ELAN06FA&COL01\5&2AD98461&0&0000","OK","10.0.26100.1150"
"System","Alarma de activaci?n ACPI","ACPI\ACPI000E\2&DABA3FF&0","OK","10.0.26100.1150"
"SoftwareComponent","DolbyAPO Software Device (HSA)","SWD\DRIVERENUM\{D0323E1C-CF9C-4A95-A94D-F1F5D17D3145}#DOLBYAPO_DAX3HSA_DOLBYACCESS&5&666691A&0","OK","3.30803.830.0"
"System","Complemento de motor de energ?a Intel(R)","ACPI\INT33A1\1","OK","10.0.26100.9278"
"Net","Intel(R) Wi-Fi 6 AX203","PCI\VEN_8086&DEV_54F0&SUBSYS_02748086&REV_00\3&11583659&0&A3","OK","23.170.0.1"
"System","Recursos de la placa base","ACPI\PNP0C02\IOTRAPS","OK","10.0.26100.1150"
"HIDClass","Dispositivo HID I2C","ACPI\ELAN06FA\4&3ADE2B2D&0","OK","10.0.26100.8972"
"System","Intel(R) Serial IO GPIO Host Controller - INTC1057","ACPI\INTC1057\2&DABA3FF&0","OK","30.100.2229.4"
"USB","Concentrador ra?z USB (USB 3.0)","USB\ROOT_HUB30\4&19816200&0&0","OK","10.0.26100.9444"
"SoftwareDevice","Sintetizador por software GS de tabla de onda de ","SWD\MMDEVAPI\MICROSOFTGSWAVETABLESYNTH","OK","10.0.26100.1"
"Volume","Volumen","STORAGE\VOLUME\{9875C86C-ACF0-11F1-9051-806E6F6E6963}#0000003B63B00000","OK","10.0.26100.5074"
"System","Intel(R) Innovation Platform Framework Processor Participant","PCI\VEN_8086&DEV_461D&SUBSYS_381D17AA&REV_00\3&11583659&0&20","OK","2.2.10000.20"
"System","Intel(R) Innovation Platform Framework Manager","ACPI\INTC1041\IETM","OK","2.2.10000.20"
"AudioProcessingObject","Voice Clarity","SWD\DRIVERENUM\{96BEDF2C-18CB-4A15-B821-5E95ED0FEA61}#VOCAEFFECTPACK&1&2215EA84&0","OK","1.0.4.7057"
